Vocal,Learn,Test,Wrong,Mymeaning,Meaning,Addon1,Addon2,Addon3
sterling,,,,,adj. 优秀的 very good, sterling qualities 优秀的品质, superb,
zealous,,,,,adj. 热情的 showing great energy and enthusiasm, a zealous political activist 积极的政治活动家," impassioned, fervent, fiery", zealotry n.狂热的行为
discursive,,,,,adj. 跑题的 moving from topic to topic without order, the discursive style of the novel 小说东拉西扯的风格," rambling, digressive, aimless",
discursive,,,,,adj. 分析的 marked by analytical reasoning, her formidable gift as a discursive writer 她作为一位分析性作家的杰出天赋, analytical,
tribute,,,,,n.颂词，赞扬 something to show respect and admiration, pay a high tribute to someone 对某人的高度赞扬," eulogy, encomium, panegyric",
minuscule,,,,,adj. 极小的 extremely small, a minuscule fragment of DNA 极小的 DNA 片段, diminutive,
specious,,,,,adj. 虚假的 seeming actually false 似是而非，华而不实, a specious argument 虚假的论证," spurious, forged, artificial, bogus",
disingenuous,,,,,adj. 不真诚的，假惺惺的 not honest, a disingenuous complaint 虚伪的抱怨,"hypocritical, affected",
inveterate,,,,,adj. 恶性成瘾的，根深蒂固的 always doing something and unlikely to stop, an inveterate liar 惯于说谎的人," entrenched, chronic",
deplete,,,,,v. 耗尽 reduce by a large amount, food supplies were severely depleted 食物供给严重不足," exhaust, drain", depletion n.耗尽
capricious,,,,,adj. 善变的 likely to change frequently or suddenly, a capricious woman 一个善变的女子," whimsical, mercurial, volatile, impulsive, erratic, fickle", caprice n.奇思妙想
unqualified,,,,,adj. 完全的，彻底的 complete and total, unqualified support 全力支持," unalloyed, absolute",
ambivalent,,,,,adj. 矛盾的 having a mixture of opposing feelings, an ambivalent attitude to marriage 对婚姻的矛盾心理, contradictory,
construe,,,,,v. 理解 to understand in a particular way, construe the approach as a hostile act 把这种方法理解为一种不友善的行为, interpret, misconstrue v.误解
deteriorate,,,,,v. 恶化 become worse, deteriorating economic conditions 日益恶化的经济状况," worsen, decline, degenerate, regress",deterioration n.恶化
insular,,,,,adj. 狭隘的，没见过世面的 limited in outlook and narrow-minded, an insular foreign policy 狭隘的对外政策," parochial, provincial, sectarian",
shackle,,,,,v. 束缚，阻碍 limit the freedom, shackled by poverty and ignorance 被贫穷和无知所束缚," stifle, manacle, trammel, rein",
cumbersome,,,,,adj. 笨重的 large and heavy, cumbersome machinery 笨重的机器," ponderous, unwieldy", cumber v.阻碍
speculate,,,,,v. 推测 make guesses about something, speculate about what might happen 猜测可能会发生什么事情, conjecture, speculation n.推测 speculative adj. 猜测的
dogmatic,,,,,adj. 武断的，自以为是的 expressing personal opinions strongly as if they were correct, hold rigidly dogmatic views 刻板固守自以为是的观点," doctrinaire, opinionated",
conducive,,,,,adj. 有助益的 make something easy or likely to happen, conducive to education 对教育有利, favorable,
pedantic,,,,,adj. 书呆子的 too worried about small details or rules, pedantic about punctuation 对标点符号过于讲究,,
vociferous,,,,,adj. 喧哗的 expressing opinions loudly, a vociferous opponent 强烈反对者,"clamorous, boisterous",
perfunctory,,,,,adj. 不走心的，呵呵的 lacking in interest,perfunctory smile 呵呵一笑,"cursory, casual",
draconian,,,,,adj. 十分严厉的 very strict, draconian regulation 严厉的法规," rigorous, stringent, severe",
hodgepodge,,,,,n. 混合，大杂烩 a mixture of different things,a hodgepodge of styles 风格的混搭,"patchwork, pastiche",
whimsical,,,,,"adj. 反复无常的 unusual, playful and unpredictable", a whimsical personality 变化无常的个性," capricious, fickle",
tenacious,,,,,adj. 坚定的，执着的 very determined and do not give up easily, a tenacious advocate of civil rights 公民权利的坚定捍卫者," pertinacious, resolve, steadfast",
